SN_BID_FK,BUS_ASC_NAME,PERCENTINTEREST,COMPANIESMMSSTARTDATE,MMS_COMPANY_NUM,BPMMSSTARTDATE
10020447,Petrobras America Inc., 100.00000 %,11/20/1987,1207,11/20/1987
10020448,Petrobras America Inc., 100.00000 %,11/20/1987,1207,11/20/1987
10020449,Petrobras America Inc., 100.00000 %,11/20/1987,1207,11/20/1987
10020563,"Elf Exploration, Inc.", 100.00000 %,1/12/1990,1500,8/14/2003
10020563,"TotalFinaElf E&P USA, Inc.", 100.00000 %,2/14/2001,1500,8/14/2003
10020563,"TOTAL E&P USA, INC.", 100.00000 %,8/14/2003,1500,8/14/2003
10020563,"TotalEnergies E&P USA, Inc.", 100.00000 %,9/1/2021,1500,8/14/2003
10020564,Tana Exploration Company LLC, 100.00000 %,2/25/2002,2579,2/25/2002
10020565,Tana Exploration Company LLC, 100.00000 %,2/25/2002,2579,2/25/2002
10020453,Petrobras America Inc., 100.00000 %,11/20/1987,1207,11/20/1987
10020454,Petrobras America Inc., 100.00000 %,11/20/1987,1207,11/20/1987
10020345,Kerr-McGee Oil & Gas Corporation, 100.00000 %,9/15/1997,2219,9/15/1997
10020345,Anadarko US Offshore Corporation, 100.00000 %,11/23/2011,2219,9/15/1997
10020345,Anadarko US Offshore LLC, 100.00000 %,4/5/2016,2219,9/15/1997
10020346,Kerr-McGee Oil & Gas Corporation, 100.00000 %,9/15/1997,2219,9/15/1997
10020346,Anadarko US Offshore Corporation, 100.00000 %,11/23/2011,2219,9/15/1997
10020346,Anadarko US Offshore LLC, 100.00000 %,4/5/2016,2219,9/15/1997
10020347,Kerr-McGee Oil & Gas Corporation, 100.00000 %,9/15/1997,2219,9/15/1997
10020347,Anadarko US Offshore Corporation, 100.00000 %,11/23/2011,2219,9/15/1997
10020347,Anadarko US Offshore LLC, 100.00000 %,4/5/2016,2219,9/15/1997
10020348,Kerr-McGee Oil & Gas Corporation,  66.67000 %,9/15/1997,2219,9/15/1997
10020348,Anadarko US Offshore Corporation,  66.67000 %,11/23/2011,2219,9/15/1997
10020348,Anadarko US Offshore LLC,  66.67000 %,4/5/2016,2219,9/15/1997
10020348,Plains Exploration & Production Company,  33.33000 %,11/18/2003,2702,11/18/2003
10020349,Kerr-McGee Oil & Gas Corporation,  66.67000 %,9/15/1997,2219,9/15/1997
10020349,Anadarko US Offshore Corporation,  66.67000 %,11/23/2011,2219,9/15/1997
10020349,Anadarko US Offshore LLC,  66.67000 %,4/5/2016,2219,9/15/1997
10020349,Plains Exploration & Production Company,  33.33000 %,11/18/2003,2702,11/18/2003
10020350,Kerr-McGee Oil & Gas Corporation,  66.67000 %,9/15/1997,2219,9/15/1997
10020350,Anadarko US Offshore Corporation,  66.67000 %,11/23/2011,2219,9/15/1997
10020350,Anadarko US Offshore LLC,  66.67000 %,4/5/2016,2219,9/15/1997
10020350,Plains Exploration & Production Company,  33.33000 %,11/18/2003,2702,11/18/2003
10020351,Kerr-McGee Oil & Gas Corporation,  66.67000 %,9/15/1997,2219,9/15/1997
10020351,Anadarko US Offshore Corporation,  66.67000 %,11/23/2011,2219,9/15/1997
